,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
1,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:38:00+00,Fairmount,5,19.0,0.0,30.0,2
2,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:42:00+00,Morton Street,6,8.0,0.0,38.0,3
3,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:49:00+00,Uphams Corner,7,7.0,1.0,44.0,4
6,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:18:00+00,Fairmount,5,22.0,0.0,55.0,7
7,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:22:00+00,Morton Street,6,17.0,0.0,72.0,8
8,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:29:00+00,Uphams Corner,7,6.0,0.0,78.0,9
11,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 12:58:00+00,Fairmount,5,41.0,0.0,95.0,12
12,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 13:02:00+00,Morton Street,6,19.0,0.0,114.0,13
13,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 13:09:00+00,Uphams Corner,7,10.0,1.0,123.0,14
16,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:38:00+00,Fairmount,5,25.0,1.0,39.0,17
17,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:42:00+00,Morton Street,6,6.0,0.0,45.0,18
18,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:49:00+00,Uphams Corner,7,8.0,0.0,53.0,19
