,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId,coordinates
1,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:38:00+00,Fairmount,5,19.0,0.0,30.0,2,"(42.2514877, -71.1147738)"
2,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:42:00+00,Morton Street,6,8.0,0.0,38.0,3,"(-1, -1)"
3,Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,2018/01/01 11:49:00+00,Uphams Corner,7,7.0,1.0,44.0,4,"(42.3167648, -71.0606061)"
6,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:18:00+00,Fairmount,5,22.0,0.0,55.0,7,"(42.2514877, -71.1147738)"
7,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:22:00+00,Morton Street,6,17.0,0.0,72.0,8,"(-1, -1)"
8,Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,2018/01/01 12:29:00+00,Uphams Corner,7,6.0,0.0,78.0,9,"(42.3167648, -71.0606061)"
11,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 12:58:00+00,Fairmount,5,41.0,0.0,95.0,12,"(42.2514877, -71.1147738)"
12,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 13:02:00+00,Morton Street,6,19.0,0.0,114.0,13,"(-1, -1)"
13,Spring 2012,CR-Fairmount,Fairmount Line,748,1,day_type_01,weekday,2018/01/01 13:09:00+00,Uphams Corner,7,10.0,1.0,123.0,14,"(42.3167648, -71.0606061)"
16,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:38:00+00,Fairmount,5,25.0,1.0,39.0,17,"(42.2514877, -71.1147738)"
17,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:42:00+00,Morton Street,6,6.0,0.0,45.0,18,"(-1, -1)"
18,Spring 2012,CR-Fairmount,Fairmount Line,750,1,day_type_01,weekday,2018/01/01 13:49:00+00,Uphams Corner,7,8.0,0.0,53.0,19,"(42.3167648, -71.0606061)"
21,Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,2018/01/01 18:03:00+00,Fairmount,5,3.0,0.0,3.0,22,"(42.2514877, -71.1147738)"
22,Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,2018/01/01 18:07:00+00,Morton Street,6,1.0,0.0,4.0,23,"(-1, -1)"
23,Spring 2012,CR-Fairmount,Fairmount Line,756,1,day_type_01,weekday,2018/01/01 18:14:00+00,Uphams Corner,7,0.0,0.0,4.0,24,"(42.3167648, -71.0606061)"
26,Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,2018/01/01 20:03:00+00,Fairmount,5,0.0,0.0,0.0,27,"(42.2514877, -71.1147738)"
27,Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,2018/01/01 20:07:00+00,Morton Street,6,0.0,0.0,0.0,28,"(-1, -1)"
28,Spring 2012,CR-Fairmount,Fairmount Line,758,1,day_type_01,weekday,2018/01/01 20:14:00+00,Uphams Corner,7,0.0,0.0,0.0,29,"(42.3167648, -71.0606061)"
31,Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,2018/01/01 21:13:00+00,Fairmount,5,1.0,0.0,5.0,32,"(42.2514877, -71.1147738)"
32,Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,2018/01/01 21:17:00+00,Morton Street,6,3.0,0.0,8.0,33,"(-1, -1)"
33,Spring 2012,CR-Fairmount,Fairmount Line,760,1,day_type_01,weekday,2018/01/01 21:24:00+00,Uphams Corner,7,3.0,0.0,11.0,34,"(42.3167648, -71.0606061)"
36,Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,2018/01/01 22:09:00+00,Fairmount,5,1.0,0.0,6.0,37,"(42.2514877, -71.1147738)"
37,Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,2018/01/01 22:13:00+00,Morton Street,6,1.0,0.0,7.0,38,"(-1, -1)"
38,Spring 2012,CR-Fairmount,Fairmount Line,762,1,day_type_01,weekday,2018/01/01 22:20:00+00,Uphams Corner,7,6.0,2.0,11.0,39,"(42.3167648, -71.0606061)"
48,Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:13:00+00,Fairmount,5,0.0,0.0,0.0,49,"(42.2514877, -71.1147738)"
49,Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:17:00+00,Morton Street,6,0.0,0.0,0.0,50,"(-1, -1)"
50,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:35:00+00,Shirley,3,15.0,4.0,79.0,51,"(42.543702, -71.6495134)"
51,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:41:00+00,Ayer,4,28.0,4.0,103.0,52,"(42.5595807, -71.5882561)"
52,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:50:00+00,Littleton / Rte 495,5,40.0,0.0,143.0,53,"(-1, -1)"
53,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:58:00+00,South Acton,6,57.0,4.0,196.0,54,"(42.4584265, -71.453674)"
54,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:03:00+00,West Concord,7,48.0,2.0,242.0,55,"(42.4566859, -71.3942316)"
55,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:09:00+00,Concord,8,40.0,0.0,282.0,56,"(42.4605189, -71.3488963)"
56,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:15:00+00,Lincoln,9,23.0,0.0,305.0,57,"(42.4259283, -71.3039469)"
57,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:18:00+00,Silver Hill,10,5.0,1.0,309.0,58,"(42.3959287, -71.3022801)"
58,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:20:00+00,Hastings,11,8.0,0.0,317.0,59,"(42.3875957, -71.289224)"
59,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:22:00+00,Kendal Green,12,15.0,1.0,331.0,60,"(42.379818, -71.2817237)"
60,Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:26:00+00,Brandeis/ Roberts,13,22.0,16.0,337.0,61,"(-1, -1)"
